emp_no,first_name,last_name,title,from_date,to_date,salary
10387,Parto,Wrigley,Staff,1994-01-07,1999-01-07,"$61,374.00"
10396,Sibyl,Rahier,Senior Engineer,1986-01-11,9999-01-01,"$40,393.00"
10402,Volkmar,Ebeling,Technique Leader,1987-01-02,9999-01-01,"$40,000.00"
10404,Prodip,Rosti,Senior Engineer,1996-08-28,9999-01-01,"$51,647.00"
10404,Prodip,Rosti,Engineer,1988-08-28,1996-08-28,"$51,647.00"
10426,Arunas,Luce,Technique Leader,1985-07-06,9999-01-01,"$65,757.00"
10429,Martien,Improta,Senior Engineer,1988-09-23,9999-01-01,"$40,000.00"
10432,Hisao,Tiemann,Senior Staff,1996-08-12,9999-01-01,"$40,000.00"
10432,Hisao,Tiemann,Staff,1990-08-13,1996-08-12,"$40,000.00"
10451,Bodh,Ranta,Senior Engineer,1998-03-12,9999-01-01,"$46,275.00"
10451,Bodh,Ranta,Engineer,1993-03-12,1998-03-12,"$46,275.00"
10451,Bodh,Ranta,Assistant Engineer,1988-03-12,1993-03-12,"$46,275.00"
10453,Tsvetan,Matzel,Senior Staff,1993-04-02,9999-01-01,"$40,000.00"
10453,Tsvetan,Matzel,Staff,1985-04-02,1993-04-02,"$40,000.00"
10463,Ung,Zaiane,Staff,1994-02-17,9999-01-01,"$66,480.00"
10486,Amstein,Kossowski,Senior Engineer,1996-10-07,9999-01-01,"$71,692.00"
10486,Amstein,Kossowski,Engineer,1987-10-08,1996-10-07,"$71,692.00"
10494,Yakkov,Servieres,Senior Engineer,2000-12-17,9999-01-01,"$50,094.00"
10494,Yakkov,Servieres,Engineer,1991-12-18,2000-12-17,"$50,094.00"
10504,Xiong,Varker,Staff,1999-10-19,9999-01-01,"$43,931.00"
10512,Udi,Gihr,Senior Staff,1998-11-28,9999-01-01,"$40,000.00"
10512,Udi,Gihr,Staff,1989-11-28,1998-11-28,"$40,000.00"
10522,Marke,Cesareni,Senior Staff,1995-12-12,9999-01-01,"$40,000.00"
10522,Marke,Cesareni,Staff,1986-12-12,1995-12-12,"$40,000.00"
10548,Ramalingam,Gunderson,Senior Staff,1993-07-04,9999-01-01,"$90,631.00"
10548,Ramalingam,Gunderson,Staff,1986-07-04,1993-07-04,"$90,631.00"
10564,Jianhao,Thisen,Senior Engineer,2000-11-22,9999-01-01,"$46,660.00"
10564,Jianhao,Thisen,Engineer,1995-11-23,2000-11-22,"$46,660.00"
10623,Aleksander,Danlos,Senior Engineer,1999-01-15,9999-01-01,"$60,268.00"
10623,Aleksander,Danlos,Engineer,1992-01-15,1999-01-15,"$60,268.00"
10628,Krisda,Krogh,Senior Engineer,2001-03-14,9999-01-01,"$41,650.00"
10628,Krisda,Krogh,Engineer,1994-03-14,2001-03-14,"$41,650.00"
10628,Krisda,Krogh,Assistant Engineer,1987-03-14,1994-03-14,"$41,650.00"
10631,Inderjeet,Chaudhuri,Engineer,1994-10-18,9999-01-01,"$40,000.00"
10642,Hirochika,Narlikar,Engineer,1998-10-05,9999-01-01,"$40,000.00"
10653,Otmar,Feinberg,Senior Engineer,1987-04-30,9999-01-01,"$40,000.00"
10671,Parviz,Rebaine,Senior Staff,2001-09-13,9999-01-01,"$74,037.00"
10671,Parviz,Rebaine,Staff,1995-09-14,2001-09-13,"$74,037.00"
10676,Valeri,Danley,Engineer,1999-09-04,9999-01-01,"$58,226.00"
10693,Berhard,Daescu,Senior Staff,1991-01-08,9999-01-01,"$40,000.00"
10693,Berhard,Daescu,Staff,1986-01-08,1991-01-08,"$40,000.00"
10702,Bader,Szemeredi,Senior Engineer,1991-01-14,9999-01-01,"$46,581.00"
10718,Adib,Rullman,Senior Engineer,1997-07-21,9999-01-01,"$75,473.00"
10718,Adib,Rullman,Engineer,1988-07-21,1997-07-21,"$75,473.00"
10726,Zita,Minakawa,Senior Engineer,2001-02-24,9999-01-01,"$46,315.00"
10726,Zita,Minakawa,Engineer,1992-02-25,2001-02-24,"$46,315.00"
10734,Sachar,Erdi,Engineer,1995-12-19,9999-01-01,"$47,377.00"
10745,Poorav,Ranze,Senior Engineer,1997-01-22,9999-01-01,"$40,000.00"
10745,Poorav,Ranze,Engineer,1988-01-23,1997-01-22,"$40,000.00"
10749,King,Brendel,Senior Engineer,1990-09-26,9999-01-01,"$60,829.00"
10749,King,Brendel,Engineer,1985-09-26,1990-09-26,"$60,829.00"
10767,Monique,Doering,Staff,1997-07-15,9999-01-01,"$40,651.00"
10768,Ishfaq,Candan,Senior Engineer,1990-07-04,9999-01-01,"$65,717.00"
10768,Ishfaq,Candan,Engineer,1985-07-04,1990-07-04,"$65,717.00"
10778,Selwyn,Merey,Senior Staff,1986-07-04,9999-01-01,"$64,996.00"
10791,Tadahiko,Sgarro,Senior Engineer,1995-07-31,9999-01-01,"$40,000.00"
10791,Tadahiko,Sgarro,Engineer,1988-07-30,1995-07-31,"$40,000.00"
10795,Supot,Naudin,Senior Staff,1999-05-03,9999-01-01,"$84,206.00"
10795,Supot,Naudin,Staff,1993-05-03,1999-05-03,"$84,206.00"
10808,Chenxi,Leijenhorst,Senior Engineer,1987-03-07,9999-01-01,"$40,000.00"
10835,Tomoyuki,Kermarrec,Engineer,1995-08-22,9999-01-01,"$40,000.00"
10836,Jianhua,Leivant,Senior Staff,1987-08-10,9999-01-01,"$65,502.00"
10844,Dipayan,Koprowski,Engineer,1997-04-25,9999-01-01,"$40,000.00"
10847,Theirry,Danley,Senior Staff,1992-07-24,9999-01-01,"$40,000.00"
10847,Theirry,Danley,Staff,1986-07-25,1992-07-24,"$40,000.00"
10848,Fen,Bratsberg,Senior Engineer,1992-04-20,9999-01-01,"$50,475.00"
10848,Fen,Bratsberg,Engineer,1985-04-20,1992-04-20,"$50,475.00"
10878,Lakshmi,Deville,Staff,1997-04-25,9999-01-01,"$72,102.00"
10879,Muzhong,Chleq,Senior Engineer,1985-08-15,9999-01-01,"$65,651.00"
10883,Shimshon,Champarnaud,Engineer,1996-12-28,9999-01-01,"$40,000.00"
10909,Georgi,Atchley,Senior Engineer,2000-12-26,9999-01-01,"$80,935.00"
10909,Georgi,Atchley,Engineer,1993-12-26,2000-12-26,"$80,935.00"
10921,Mara,Bahi,Senior Engineer,1995-07-27,9999-01-01,"$72,601.00"
10921,Mara,Bahi,Engineer,1986-07-27,1995-07-27,"$72,601.00"
10924,Hironoby,Atchley,Senior Staff,1997-08-14,9999-01-01,"$84,783.00"
10924,Hironoby,Atchley,Staff,1988-08-14,1997-08-14,"$84,783.00"
10927,Gal,Scallan,Senior Staff,1993-09-12,9999-01-01,"$51,819.00"
10927,Gal,Scallan,Staff,1986-09-12,1993-09-12,"$51,819.00"
10936,Mountaz,Schicker,Senior Staff,1996-05-08,9999-01-01,"$40,000.00"
10936,Mountaz,Schicker,Staff,1990-05-09,1996-05-08,"$40,000.00"
10943,Berna,Skafidas,Senior Engineer,1999-05-22,9999-01-01,"$45,890.00"
10943,Berna,Skafidas,Engineer,1993-05-22,1999-05-22,"$45,890.00"
10965,Eckart,Braunschweig,Senior Staff,1986-07-29,9999-01-01,"$61,654.00"
10969,Premal,Noriega,Senior Engineer,1994-05-12,9999-01-01,"$40,000.00"
10974,Muneo,Papsdorf,Senior Engineer,1999-05-17,9999-01-01,"$56,005.00"
10986,Masako,Schiper,Technique Leader,1985-10-11,9999-01-01,"$43,900.00"
10988,Chinya,Deyuan,Senior Engineer,1985-06-19,9999-01-01,"$54,174.00"
10989,Sumali,Candan,Senior Staff,1991-07-20,9999-01-01,"$46,406.00"
10989,Sumali,Candan,Staff,1985-07-20,1991-07-20,"$46,406.00"
10990,Shin,Foote,Technique Leader,1990-08-06,9999-01-01,"$40,000.00"
11009,Alper,Axelband,Senior Staff,1993-09-09,9999-01-01,"$75,111.00"
11009,Alper,Axelband,Staff,1986-09-09,1993-09-09,"$75,111.00"
11012,Taegyun,Speckmann,Staff,1996-07-06,9999-01-01,"$72,092.00"
11019,Leon,Huttel,Senior Engineer,1997-05-24,9999-01-01,"$69,387.00"
11019,Leon,Huttel,Engineer,1992-05-24,1997-05-24,"$69,387.00"
11021,Srinidhi,Henders,Staff,1998-02-02,9999-01-01,"$62,670.00"
11027,Remzi,Cappello,Senior Engineer,1996-05-06,9999-01-01,"$40,000.00"
11027,Remzi,Cappello,Engineer,1991-05-07,1996-05-06,"$40,000.00"
11027,Remzi,Cappello,Assistant Engineer,1986-05-07,1991-05-07,"$40,000.00"
11031,Ottavia,Walstra,Senior Staff,1993-10-24,9999-01-01,"$71,654.00"
11031,Ottavia,Walstra,Staff,1985-10-24,1993-10-24,"$71,654.00"
11037,Lansing,Maliniak,Senior Engineer,1995-01-28,9999-01-01,"$40,000.00"
11037,Lansing,Maliniak,Engineer,1988-01-28,1995-01-28,"$40,000.00"
11038,Jinya,Beidas,Senior Staff,1992-07-15,9999-01-01,"$44,993.00"
11038,Jinya,Beidas,Staff,1985-07-15,1992-07-15,"$44,993.00"
11042,Gou,Breugel,Senior Engineer,2000-06-21,9999-01-01,"$40,000.00"
11042,Gou,Breugel,Engineer,1993-06-21,2000-06-21,"$40,000.00"
11048,Jaques,Demke,Senior Staff,1999-05-27,9999-01-01,"$65,697.00"
11050,Elvis,Katiyar,Senior Staff,1991-05-06,9999-01-01,"$52,251.00"
11050,Elvis,Katiyar,Staff,1986-05-06,1991-05-06,"$52,251.00"
11051,Przemyslawa,Erol,Senior Engineer,2000-03-26,9999-01-01,"$40,000.00"
11051,Przemyslawa,Erol,Engineer,1991-03-27,2000-03-26,"$40,000.00"
11070,Adib,Raney,Senior Engineer,1991-07-24,9999-01-01,"$40,000.00"
11070,Adib,Raney,Engineer,1985-07-24,1991-07-24,"$40,000.00"
11081,Barry,Boyle,Senior Staff,1994-06-17,9999-01-01,"$65,686.00"
11081,Barry,Boyle,Staff,1985-06-17,1994-06-17,"$65,686.00"
11085,Hailing,Thummel,Senior Engineer,1996-02-10,9999-01-01,"$66,437.00"
11100,Berna,Cochrane,Senior Staff,1993-10-13,9999-01-01,"$40,000.00"
11100,Berna,Cochrane,Staff,1986-10-13,1993-10-13,"$40,000.00"
11106,Aris,Iwayama,Senior Engineer,1997-08-30,9999-01-01,"$71,446.00"
11106,Aris,Iwayama,Engineer,1991-08-31,1997-08-30,"$71,446.00"
11106,Aris,Iwayama,Assistant Engineer,1985-08-31,1991-08-31,"$71,446.00"
11112,Boaz,Mukaidono,Staff,1995-04-28,9999-01-01,"$40,000.00"
11113,Shahab,Peng,Senior Staff,1991-11-30,9999-01-01,"$66,401.00"
11113,Shahab,Peng,Staff,1985-11-30,1991-11-30,"$66,401.00"
11121,Vugranam,Kakkad,Senior Engineer,1999-11-01,9999-01-01,"$40,000.00"
11121,Vugranam,Kakkad,Engineer,1992-10-31,1999-11-01,"$40,000.00"
11133,Nalini,Azulay,Technique Leader,1994-03-06,9999-01-01,"$40,000.00"
11134,Sachar,Rajcani,Senior Engineer,2002-05-19,9999-01-01,"$58,731.00"
11134,Sachar,Rajcani,Engineer,1993-05-19,2002-05-19,"$58,731.00"
11137,Hugh,Luca,Engineer,1995-03-16,9999-01-01,"$40,000.00"
11139,Bogdan,Homond,Senior Staff,1995-05-11,9999-01-01,"$63,596.00"
11139,Bogdan,Homond,Staff,1990-05-11,1995-05-11,"$63,596.00"
11146,Ishfaq,Masand,Senior Staff,1997-08-21,9999-01-01,"$96,019.00"
11146,Ishfaq,Masand,Staff,1991-08-22,1997-08-21,"$96,019.00"
11148,Zhanqiu,Botman,Senior Staff,1997-02-08,9999-01-01,"$56,344.00"
11148,Zhanqiu,Botman,Staff,1990-02-08,1997-02-08,"$56,344.00"
11162,Kauko,Narlikar,Senior Engineer,1990-03-28,9999-01-01,"$69,873.00"
11162,Kauko,Narlikar,Engineer,1985-03-28,1990-03-28,"$69,873.00"
11180,Mitsuyuki,Bojadziev,Senior Engineer,1992-06-10,9999-01-01,"$40,000.00"
11180,Mitsuyuki,Bojadziev,Engineer,1986-06-11,1992-06-10,"$40,000.00"
11197,Tadahiro,Fordan,Senior Staff,1989-09-12,9999-01-01,"$88,741.00"
11204,Diederik,Covnot,Technique Leader,1985-09-18,9999-01-01,"$40,000.00"
11207,Saeed,Gips,Engineer,1999-01-31,9999-01-01,"$49,728.00"
11208,Saniya,Valtorta,Technique Leader,1994-11-17,9999-01-01,"$83,660.00"
11211,Yurij,Rissland,Senior Engineer,1985-09-17,9999-01-01,"$72,668.00"
11217,Kellie,Mawatari,Senior Engineer,1990-03-11,9999-01-01,"$40,000.00"
11232,Hidefumi,Crelier,Senior Staff,2000-08-01,9999-01-01,"$43,863.00"
11232,Hidefumi,Crelier,Staff,1994-08-02,2000-08-01,"$43,863.00"
11240,Kiam,Condotta,Engineer,1997-01-06,9999-01-01,"$61,739.00"
11240,Kiam,Condotta,Assistant Engineer,1989-01-06,1997-01-06,"$61,739.00"
11249,Randi,Cyre,Engineer,1994-09-22,9999-01-01,"$43,324.00"
11249,Randi,Cyre,Assistant Engineer,1986-09-22,1994-09-22,"$43,324.00"
11251,Bezalel,Chinal,Senior Staff,1993-06-15,9999-01-01,"$69,432.00"
11251,Bezalel,Chinal,Staff,1986-06-15,1993-06-15,"$69,432.00"
11268,Aimee,Petersohn,Senior Engineer,1995-10-25,9999-01-01,"$40,000.00"
11268,Aimee,Petersohn,Engineer,1987-10-25,1995-10-25,"$40,000.00"
11275,Hitomi,Eppinger,Senior Engineer,1998-04-25,9999-01-01,"$58,382.00"
11275,Hitomi,Eppinger,Engineer,1989-04-25,1998-04-25,"$58,382.00"
11290,Visit,Dredge,Engineer,1999-05-13,9999-01-01,"$65,034.00"
11295,Abdelkader,Lanzelotte,Senior Staff,1990-05-15,9999-01-01,"$66,622.00"
11295,Abdelkader,Lanzelotte,Staff,1985-05-15,1990-05-15,"$66,622.00"
11319,Pranas,Marrakchi,Assistant Engineer,1998-11-01,9999-01-01,"$40,000.00"
11320,Atilio,McAlpine,Senior Staff,1998-04-06,9999-01-01,"$45,118.00"
11320,Atilio,McAlpine,Staff,1990-04-06,1998-04-06,"$45,118.00"
11322,Nathalie,Pocchiola,Senior Engineer,1999-07-08,9999-01-01,"$43,021.00"
11322,Nathalie,Pocchiola,Engineer,1992-07-07,1999-07-08,"$43,021.00"
11322,Nathalie,Pocchiola,Assistant Engineer,1985-07-07,1992-07-07,"$43,021.00"
11324,Kauko,Billingsley,Senior Engineer,1985-08-29,9999-01-01,"$54,288.00"
11338,Kwangsub,Hanratty,Senior Staff,1998-10-28,9999-01-01,"$82,210.00"
11339,Flemming,Massonet,Senior Engineer,1989-12-19,9999-01-01,"$40,000.00"
11347,Anneli,Jonsson,Senior Engineer,1992-04-19,9999-01-01,"$41,524.00"
11347,Anneli,Jonsson,Engineer,1986-04-20,1992-04-19,"$41,524.00"
11365,Toshimi,Shinomoto,Engineer,1997-12-18,9999-01-01,"$56,463.00"
11376,Valery,Suomi,Senior Staff,1994-03-14,9999-01-01,"$46,964.00"
11376,Valery,Suomi,Staff,1986-03-14,1994-03-14,"$46,964.00"
11380,Kenroku,Pelc,Senior Engineer,2001-04-18,9999-01-01,"$53,345.00"
11380,Kenroku,Pelc,Engineer,1996-04-18,2001-04-18,"$53,345.00"
11380,Kenroku,Pelc,Assistant Engineer,1991-04-19,1996-04-18,"$53,345.00"
11385,Shiv,Ullian,Engineer,1999-08-08,9999-01-01,"$40,000.00"
11386,Alselm,Assaf,Senior Engineer,1993-11-29,9999-01-01,"$47,726.00"
11386,Alselm,Assaf,Engineer,1987-11-30,1993-11-29,"$47,726.00"
11393,Junsik,Junot,Senior Engineer,1992-04-30,9999-01-01,"$40,000.00"
11393,Junsik,Junot,Engineer,1985-04-30,1992-04-30,"$40,000.00"
11398,Oscar,Peir,Senior Staff,2001-09-07,9999-01-01,"$44,625.00"
11398,Oscar,Peir,Staff,1994-09-07,2001-09-07,"$44,625.00"
11404,Bedrich,Borovoy,Technique Leader,1990-09-25,9999-01-01,"$42,907.00"
11415,Sanjiv,Anido,Engineer,1996-12-07,9999-01-01,"$40,000.00"
11421,Josyula,Msuda,Senior Engineer,1995-09-02,9999-01-01,"$52,416.00"
11421,Josyula,Msuda,Engineer,1986-09-02,1995-09-02,"$52,416.00"
11441,Marlo,Aingworth,Senior Staff,1987-03-27,9999-01-01,"$67,352.00"
11449,Kotesh,Asser,Senior Engineer,2000-02-03,9999-01-01,"$61,434.00"
11449,Kotesh,Asser,Engineer,1995-02-03,2000-02-03,"$61,434.00"
11459,Duke,Suomi,Senior Staff,1992-05-02,9999-01-01,"$40,000.00"
11459,Duke,Suomi,Staff,1986-05-03,1992-05-02,"$40,000.00"
11469,Guttorm,Giaccio,Senior Engineer,1999-09-08,9999-01-01,"$44,625.00"
11469,Guttorm,Giaccio,Engineer,1994-09-08,1999-09-08,"$44,625.00"
11506,Rance,Picel,Staff,1996-04-08,9999-01-01,"$89,747.00"
11509,Aleksander,Feldhoffer,Senior Engineer,1992-11-11,9999-01-01,"$40,000.00"
11509,Aleksander,Feldhoffer,Engineer,1987-11-12,1992-11-11,"$40,000.00"
11513,Otmar,Mahnke,Senior Staff,1998-08-25,9999-01-01,"$82,525.00"
11513,Otmar,Mahnke,Staff,1992-08-25,1998-08-25,"$82,525.00"
11515,Ulf,Basawa,Staff,1998-09-21,9999-01-01,"$70,182.00"
11518,Jinxi,Oxman,Senior Staff,1999-09-22,9999-01-01,"$40,000.00"
11518,Jinxi,Oxman,Staff,1994-09-22,1999-09-22,"$40,000.00"
11524,Xiadong,Standera,Senior Engineer,1996-07-05,9999-01-01,"$41,081.00"
11527,Alagu,Boyle,Staff,1999-01-28,9999-01-01,"$60,212.00"
11528,Zito,Dolinsky,Technique Leader,1987-06-15,9999-01-01,"$44,026.00"
11537,DAIDA,Pehl,Senior Staff,1986-07-06,9999-01-01,"$96,023.00"
11554,Subhash,Taubenfeld,Staff,1998-07-15,9999-01-01,"$46,065.00"
11555,Kotesh,Perfilyeva,Senior Staff,1991-10-14,9999-01-01,"$40,000.00"
11555,Kotesh,Perfilyeva,Staff,1986-10-14,1991-10-14,"$40,000.00"
11567,Teiji,Mitzlaff,Senior Staff,1996-02-03,9999-01-01,"$86,261.00"
11567,Teiji,Mitzlaff,Staff,1988-02-03,1996-02-03,"$86,261.00"
11568,Martins,Fujisaki,Senior Engineer,2000-03-13,9999-01-01,"$54,673.00"
11568,Martins,Fujisaki,Engineer,1992-03-13,2000-03-13,"$54,673.00"
11603,Herb,Swen,Senior Staff,1994-04-13,9999-01-01,"$69,180.00"
11603,Herb,Swen,Staff,1985-04-13,1994-04-13,"$69,180.00"
11607,Tomokazu,Foong,Engineer,1995-04-19,9999-01-01,"$49,584.00"
11615,Shem,Isaak,Senior Staff,2000-08-28,9999-01-01,"$46,591.00"
11615,Shem,Isaak,Staff,1991-08-29,2000-08-28,"$46,591.00"
11624,Adil,Gammage,Senior Engineer,1996-07-15,9999-01-01,"$42,001.00"
11624,Adil,Gammage,Engineer,1989-07-15,1996-07-15,"$42,001.00"
11628,Fan,Malinowski,Senior Engineer,1997-10-23,9999-01-01,"$43,966.00"
11628,Fan,Malinowski,Engineer,1988-10-23,1997-10-23,"$43,966.00"
11640,Valeri,Coorg,Senior Engineer,1988-09-26,9999-01-01,"$52,520.00"
11647,Magy,Nitsche,Senior Engineer,1993-05-11,9999-01-01,"$40,000.00"
11647,Magy,Nitsche,Engineer,1988-05-11,1993-05-11,"$40,000.00"
11660,Gill,Stenning,Senior Staff,1994-11-22,9999-01-01,"$65,758.00"
11660,Gill,Stenning,Staff,1986-11-22,1994-11-22,"$65,758.00"
11673,Henk,Felder,Technique Leader,1989-06-10,9999-01-01,"$40,000.00"
11676,Valeri,Ferriere,Engineer,1998-07-15,9999-01-01,"$43,310.00"
11681,Fumitake,Benzmuller,Senior Engineer,1995-08-28,9999-01-01,"$40,000.00"
11681,Fumitake,Benzmuller,Engineer,1988-08-27,1995-08-28,"$40,000.00"
11684,Oksana,Gide,Senior Staff,1995-02-21,9999-01-01,"$68,753.00"
11684,Oksana,Gide,Staff,1986-02-21,1995-02-21,"$68,753.00"
11696,Dante,Rothe,Senior Staff,1994-10-23,9999-01-01,"$51,633.00"
11696,Dante,Rothe,Staff,1985-10-23,1994-10-23,"$51,633.00"
11732,Sanjoy,Ranft,Senior Engineer,1996-12-22,9999-01-01,"$40,000.00"
11735,Amalendu,Picci,Senior Staff,1997-07-14,9999-01-01,"$40,000.00"
11735,Amalendu,Picci,Staff,1988-07-14,1997-07-14,"$40,000.00"
11746,Koichi,Marrakchi,Senior Staff,1995-11-18,9999-01-01,"$55,951.00"
11746,Koichi,Marrakchi,Staff,1988-11-17,1995-11-18,"$55,951.00"
11751,Jiafu,Emiris,Senior Staff,1993-11-03,9999-01-01,"$40,000.00"
11751,Jiafu,Emiris,Staff,1988-11-03,1993-11-03,"$40,000.00"
11764,Sanjay,Anick,Senior Engineer,1996-12-15,9999-01-01,"$64,875.00"
11764,Sanjay,Anick,Engineer,1991-12-16,1996-12-15,"$64,875.00"
11769,Chandrasekaran,Lampe,Senior Staff,2001-10-22,9999-01-01,"$40,000.00"
11769,Chandrasekaran,Lampe,Staff,1993-10-22,2001-10-22,"$40,000.00"
11772,Gaurav,Penz,Engineer,1999-11-07,9999-01-01,"$61,295.00"
11797,Chenxi,Thambidurai,Senior Staff,1996-08-30,9999-01-01,"$88,050.00"
11797,Chenxi,Thambidurai,Staff,1988-08-30,1996-08-30,"$88,050.00"
11810,Amabile,Bhattacharjee,Senior Engineer,1992-01-05,9999-01-01,"$41,256.00"
11817,Niranjan,Markovitch,Senior Staff,1993-04-12,9999-01-01,"$50,638.00"
11817,Niranjan,Markovitch,Staff,1986-04-12,1993-04-12,"$50,638.00"
11832,Arto,Zlotek,Engineer,1996-02-04,9999-01-01,"$40,000.00"
11844,Shawna,Demeyer,Senior Engineer,1995-01-27,9999-01-01,"$78,049.00"
11844,Shawna,Demeyer,Engineer,1988-01-27,1995-01-27,"$78,049.00"
11853,Zeljko,Kusakabe,Senior Staff,1996-11-17,9999-01-01,"$61,941.00"
11853,Zeljko,Kusakabe,Staff,1988-11-17,1996-11-17,"$61,941.00"
11857,Divier,Farrag,Senior Staff,1986-08-27,9999-01-01,"$94,805.00"
11864,Pradeep,Kriebel,Staff,1995-11-02,9999-01-01,"$52,517.00"
11871,Nalini,Sommen,Senior Engineer,1998-10-13,9999-01-01,"$67,424.00"
